,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
COL1A1,0.843307622681109,0,6.82637868953736,4.89048419696863,3.74692244825783,0,0,0,0
SOX9,5.13540477230622,0,4.61086050056151,3.98742461116933,5.32871654674683,4.0903568110676,4.15759259333674,2.04680443405476,4.67074310798588
RPL38,7.0360862267082,4.13989214991377,9.17950486519076,8.13565106559507,6.8778688502775,7.51732359772797,6.59838165134284,7.89153009709348,8.30904910619497
AATK,0,3.15006770888608,0,0,0,0,0,2.69617646863997,0
AFG3L2,0,0,5.39268681017765,7.01616995959725,3.26339332779042,0,5.36363056944324,5.40931084478543,3.29415048675952
DSC3,0,0,6.03222147911248,0,0,0,0,0,0
CCDC68,1.37201470237603,0,0,0,0,0,0,0,0
BSG,8.48211142578515,7.32453958638127,8.17030208340639,8.30984006996504,8.50104228132887,7.75003264803006,6.12273610209032,7.64295772776542,8.1737797225687
GIPC1,6.61305095229225,4.20979513258106,5.89692069590663,5.75690324670582,6.31065492540988,7.077923132346,5.06167557102188,5.40931084478543,6.11928963489296
DDA1,4.38225022710986,4.34019345737389,5.74760528159266,5.5436484247112,5.36262699582715,4.42001620453904,3.66256571443887,6.06112479892699,5.61358338090832
UBA52,7.6745783277797,4.20979513258106,9.50210134423531,8.62505208270234,7.72952851800525,8.947447728891,8.57741600482356,8.41282753554896,8.25460502924592
MEF2B,2.52730886067184,0,3.91272940279308,1.04370148673221,0,4.51505197721073,0,1.35949233011302,2.29726343115503
POP4,6.78912826856055,1.45966154349926,5.80919795563234,4.25139118580583,6.06504762460837,3.66234102537749,0,6.23615895125491,6.29142113954378
ARHGAP33,4.14382894566204,0,1.11884864333125,4.89048419696863,3.64037238185392,0,0,4.12453173578938,0
