"","Br11.10","Br11.18","Br11.1","Br11.2","Br11.3","Br11.4","Br11.6","Br11.8","Br11.9"
"NAT10",2.87838610537646,0,3.20197113167941,6.2346872158513,5.58000154070818,0,6.7623523498231,4.05827207503453,0
"PRDM11",1.75807992347051,0,0,0,0,0,0,0,0
"PHF21A",1.75807992347051,5.36667475071933,0,1.64294184445923,2.53084603244413,0,0,0,0
"DDB2",3.02634497884694,2.42655883810241,0,5.81246028412237,0,5.38591976725673,2.90294840608274,6.09456955530288,0
"SSRP1",3.69068333213451,0,2.77793079780948,5.91754064993486,5.45982316543531,2.77201118331505,3.93120791089612,4.05827207503453,5.87651372633266
"DDB1",6.27126223065359,0,6.45464399438441,7.52858098213785,6.23943689791442,7.16841709084902,7.21658462925979,5.35514639873725,6.87625354246645
"MTA2",5.23002261836925,5.39695749956397,7.39710324059447,5.44162959941066,3.26339332779042,5.95933533333399,2.28916177518538,3.37791392241941,2.55926093499899
"TAF6L",2.52730886067184,4.90121600996669,3.91272940279308,0,0,3.81954945185343,0,0,0
"RPS6KA4",3.69068333213451,0,0,1.64294184445923,0,0,0,2.69617646863997,0
"MEN1",0,4.90121600996669,0,4.54174470684303,5.10658842486211,4.68818188746277,0,2.69617646863997,2.55926093499899
"DPF2",5.06869284495427,4.20979513258106,4.38677712657543,1.04370148673221,0,4.20881251001496,4.15759259333674,4.90544963553196,0
"KAT5",5.78143319280547,2.83320060573328,5.86826838111614,5.36937509888177,4.26007070111535,4.42001620453904,0,0,5.77701521807534
"CST6",1.37201470237603,0,0,0,0,0,0,0,0
"BRMS1",5.80211462080868,0,5.83903547337971,0,0,2.77201118331505,0,5.14774918913529,0
"KDM2A",5.84260875713161,6.85366772513329,1.74134691342348,4.66759304973827,6.86609612457203,6.46693572251838,5.92152472682148,3.75783289592179,2.97300125790583
"GSTP1",11.1674745043623,4.13989214991377,10.5948093999929,10.4545612392245,9.3716200720473,11.4237515260536,10.1200927584151,9.82729073508928,10.5043991373471
"SUV420H1",0,2.17020601574214,6.08297809057871,4.16865492083614,0,0,0,4.12453173578938,5.72456844515284
"ARRB1",3.59910634993852,9.18740338861616,5.30987769084172,3.24672430706797,0,5.65992611751704,0,4.787700331834,4.55536590162407
"C11orf30",5.42929521117582,3.15006770888608,0,6.72913798160761,0,0,2.62845336166009,6.07794409006704,0
"CLNS1A",4.14382894566204,0,7.4656511175791,5.96734345125375,6.62196009808614,5.16926634021923,0,7.54957596432312,4.14076170350031
"RSF1",3.28329171821906,6.79801957271682,5.58103285319381,5.25371897613993,4.52255059110667,4.76753170768432,7.56152844704211,4.24856596241825,7.19812959494933
"EED",3.8580506738477,0,0,4.72662639942142,0.967774308989832,0,5.11659670062274,5.24030648837628,5.46164965689992
"PIWIL4",0,0,0,0,4.63781447643797,0,0,0,0
"PGR",0,0,3.20197113167941,0,0,0,0,0,0
"CUL5",5.34723838785159,6.36449156363038,6.73411653402447,5.96734345125375,3.26339332779042,5.99274334272203,4.52546856046124,4.41665960727428,2.780912255517
"ATM",0.843307622681109,0,3.79588063492644,3.07563022327984,0,0,0,2.86072345122316,3.14249360790892
"ZBTB16",0,8.2677320529019,0,2.88148064607876,6.22106918385847,0,0,0,0
"KMT2A",7.59976855703991,8.9270271810385,7.1337748263085,6.2346872158513,5.14606679016331,5.10960792425769,8.00165388628761,0,3.4313706822122
