,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
ZWINT,5.28982061595719,0,0,7.39847510039543,6.93533317550634,0,0,7.24156446339196,0
CDK1,4.26795921041992,0,0,7.21480377919955,7.19263592225048,0,0,5.08257157937645,0
RTKN2,0,3.62968872200817,2.77793079780948,2.3912288507298,4.3972717881004,0,0,2.86072345122316,0
DDX21,4.53831762090615,0,6.91309354482348,5.99161463580692,0,3.66234102537749,3.33218485004581,5.9002165776632,2.97300125790583
RPS24,6.25635193816673,0,8.19358562364814,7.11890272206934,6.57933517402951,7.23972083773978,7.97217576406044,6.9714621862063,7.16898749771974
KIF20B,0,0,6.17942918719837,0,5.84281385851269,0,0,3.14237153267426,0
KIF11,3.16053114209887,0,3.79588063492644,5.0835032062234,6.50536967219064,5.89010486662563,0,6.11100561109593,0
CEP55,3.59910634993852,0,0,0,5.69093415152687,1.2972786894223,0,3.00840964825682,0
PIK3AP1,0,0,0,0,0,0,0,1.74369722987071,0
MCMBP,6.54105673516623,0,4.74298648385483,4.94121343318483,8.26144951660138,5.04737569467284,0,7.34939793085217,7.1190697519878
BUB3,6.82998342036757,5.53951233634251,6.99489050288254,7.48650270330197,7.34459544462698,6.36856452240993,5.95204510272603,6.91641783559537,6.13946140942462
MKI67,4.14382894566204,0,0,2.06506563084475,6.93533317550634,0,0,4.82802740442056,0
RRM1,6.73637657658296,0,6.63554853603788,8.08014357908582,9.20170709768683,5.77960119407752,6.01121459788637,8.76669707148283,6.55439049794481
NUCB2,6.46528024920164,5.06104640175957,7.65368225883498,7.64791805357222,7.63557258287811,6.14907917921512,5.0045806549332,8.15196389213779,6.59877476137578
E2F8,2.7135004883149,0,0,0,5.89008374943914,0,0,5.3824828001258,0
PRMT3,3.02634497884694,4.45977649219037,0,4.40386013788609,0,4.76753170768432,0,0,0
CCDC34,0,0,2.77793079780948,2.06506563084475,2.53084603244413,0,0,1.74369722987071,0
KIF18A,0,3.28572646127337,0,2.3912288507298,2.27001571216642,0,0,0,0
CD82,6.25635193816673,8.98299771360942,5.54527954273669,7.89952761141865,8.48957849847397,8.51912439895595,7.97960195387762,8.95145029865895,7.71071563205401
CKAP5,2.52730886067184,7.10364647519259,4.12137205243805,0,6.34498753687972,2.77201118331505,0,5.2988688128942,6.41240513866239
SPI1,0.843307622681109,0,0,0,0,0,0,0,0
PSMC3,7.63477876193298,0,8.07948077025073,7.47793774436095,6.96874425092168,6.93055804517267,4.15759259333674,6.22109577930349,5.01444290431185
SSRP1,3.69068333213451,0,2.77793079780948,5.91754064993486,5.45982316543531,2.77201118331505,3.93120791089612,4.05827207503453,5.87651372633266
FAM111A,5.23002261836925,0,5.80919795563234,7.05123335994633,8.04357835078593,0,5.53470716641754,4.46860335515537,3.77868666613505
FEN1,5.19916772310487,0,5.9250150315881,7.39847510039543,8.00115029531725,3.0510663588384,6.27535170117926,7.37003010288703,0
COX8A,7.23932186174281,1.85824263088808,7.55825031495709,8.0914172432491,6.74276249162383,8.02492611915428,6.99998724357567,8.15988477623371,8.22187053999917
CDCA5,5.92033887756361,2.17020601574214,0,5.57611217872611,5.49081924854795,0,0,5.76134527692405,0
RNASEH2C,4.99874588290801,5.06104640175957,5.86826838111614,4.99021931261378,0,3.0510663588384,0,0,4.05840147761124
FOSL1,0,3.15006770888608,0,0,0,0,3.50681194739552,0,0
BANF1,5.62771449427975,3.00031613723891,3.00547457322004,6.10719912990423,5.10658842486211,6.11913799850014,6.25101073867492,6.0441071091294,6.81486431112009
GSTP1,11.1674745043623,4.13989214991377,10.5948093999929,10.4545612392245,9.3716200720473,11.4237515260536,10.1200927584151,9.82729073508928,10.5043991373471
NDUFS8,5.34723838785159,5.20492264168505,3.00547457322004,8.2805895236279,6.8778688502775,6.82322643216428,4.44191560566814,7.6598133312802,7.32684513806442
