symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
HSP90AB1,64,10,5146,4025,7751,20,7,4208,1396,18932,30630,19506,74,5415,28,6,14,61,2,5,1368,1,13910,19306,38,8593,16269,30,4,156819
LAT,0,9,0,62,3,5,17,180,42,1,8,124,2,6,64,31886,4,15,10,3065,5748,51898,1,222,17467,120,0,22251,22304,155514
PPBP,26278,185,1415,24132,121,21,134,649,2780,2,15,22,9,0,42,626,19,112,1557,112,38026,449,3993,4163,4432,75,16,17397,28074,154856
S100A1,3,150086,792,40,0,0,3,33,1,0,0,0,0,0,0,0,0,10,6,1,2,0,1,414,0,6,1,0,0,151399
ELF3,8836,65,4303,10763,5643,7,0,3010,290,7729,8395,4718,21,4164,11,5,5,100,15,6,2,30,64354,15566,44,12611,227,30,1,150951
XPNPEP1,1,13,188,22,368,15,16,17,18,471,181,10,10,1391,61,4083,16,6,16,86,23813,55967,102,484,20770,8,7,22678,17795,148613
TAGLN2,4338,19567,3537,5927,3810,7,34,6562,1107,1448,1742,2026,17,731,16,2590,8,34946,146,609,9267,14353,5122,3227,10607,1831,2619,1320,6990,144504
ATF4,92,5,3712,1037,1421,20,73,7055,563,9435,8472,3303,27,1800,9,3,15,12,11,1724,8390,7280,44869,3663,27302,155,4366,3603,6031,144448
CSNK1G3,0,0,59,0,136,71,0,7,0,240,7,4,142601,359,0,12,41,2,1,0,0,1,0,0,0,0,0,32,8,143581
PIGC,123,139436,176,159,334,2,12,2,317,1496,138,16,5,2,0,0,1,16,13,5,28,5,705,51,0,0,0,1,58,143101
ALDOA,386,4,7356,5026,1463,3,44,1455,680,8311,11807,9572,46,4091,8,0,2,9,5,5,545,1130,35685,15056,63,9953,23949,16,5406,142076
RPS3,14991,96,7857,5790,6659,11,384,16735,2679,5116,194,2688,18,3421,16,62,11,140,29,6,6,11,13205,20939,70,14000,26701,9,20,141864
HIST1H1C,1,2,3,487,126,15,12,128,1622,21,2,122,0,1247,8,39393,6,3,5,2,6780,1,101,3230,48377,727,22739,5587,10925,141672
TPX2,0,3,2,392,364,41,0,0,0,4,7,5,127842,524,0,5,29,0,0,0,0,0,4,1269,3,5,10282,25,5,140811
RAP1B,13,18815,242,356,348,23,4,1516,343,868,5,12,9,248,1,971,11,6,11,6937,24486,602,7,737,26954,2,2,28146,29099,140774
