,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
VOPP1,0,0,0.326804453408013,0.00389204592900178,3.33695742366105,0,5.68301706981907,0.368300370852663,0,0,0,0,0,0,0.00975497973642006,0.00136133620297222,0.0267979382972245,0.00454410600755609,3.15179173756248,0.000796306739582956,0.00273036036472333,9.90333463760426,0,0
VPS11,0,0,0.861420029320185,4.77509737107722,1.45141554301766,0.0319477762205205,42.3242565844598,3.23056773840361,0,0,0.0486229530824265,0,0,0,0,0,0,0.0145184918527852,1.2272027429149,0,0,0,0,0
VPS13A,0,0.00146196175556059,0,0,0.355519600164901,0.00186981110026693,0.0714733700663511,0,0.0021146701078133,0.00588843516293945,0,0,0.0019854970082397,0,0.00273619964043777,3.38772646773249,0.000626385284871337,0.000849725409308334,0.0916910212017141,0.447163013695811,0,0.00149064238935569,0,0.287737129233938
VPS16,0,0,0.0644713407363893,0,5.34022730061284,0.00876725827128118,0,4.80451558337544,5.13615891861764,0,48.5564082494458,0.0160812237757775,0.363077980208125,0,0,0.107424693003223,0.00587404959678875,123.47933311842,0.229293426533674,0,0.0430912104340115,0.22366061368634,0,0.474144067153578
VPS26A,0,0,0.296721429317236,0.10470444659137,6.59329193740774,0,0.054118740087589,1.24673575102941,1.20677235086066,7.12541700232291,7.56038584057942,0.0164470795151164,0.0333252215142113,0,0,0.00732457716877768,0.0180230613306264,0,4.12590968980224,0,0,0.786324696096013,0,8.07630667356991
VPS33A,0,0.00966296151741935,12.0872224331251,0,8.23482794198222,0.0123586767150381,0.198909206279143,0.015117492567947,0.111816746483913,0.350281051777145,0.0564279047713684,0,0.00656165631918826,0,0,0.28771724532595,130.563682832576,0.539167959990616,13.4641811751855,0,0.0404953918724392,0.246313215612381,0.00561893298976435,0
VPS33B,0,0,53.9271944025545,0,2.75990671942753,0,0,0.00777669592609392,0,0,0,0,5.01251040929683,0,0,0,0,0,0,0.00455661823922162,0,0,0.0433571239682402,0
VPS36,0,0,0.220620073625825,10.8881667269038,4.76542336436165,0,0,0,0,0,0,0,0,0,0,0,0,0.0163607889100407,0.529631370226439,0.00573411203536881,0.0196610068080719,0,0,7.39866709786083
VPS37A,0,0,1.42121689522292,1.3348609450746,1.56370711841306,0,0.00827280005303169,0,1.00451920937162,0,0,0,0,0,0.0120348212958364,0,0,0,0.349518982404971,0,0,0,0,1.69417182962607
VPS37B,0,0,2.32490112226859,3.54754861823439,1.17200130728806,0,0.0298150671651815,0,0,0,0,0,0,0,0,0.0907931725226769,0,0,0.351251906391258,0.00708120105624401,0,0,2.16286682778034,2.66672226525147
VPS39,0,7.97786889170002,0,0,0.603766551129911,0,0.453498735544275,0,0.416219050886074,0,0.686141754607139,0,0,0,0,1.07097910231498,0,1.75609187065544,5.4366727654595,0,0,0,0,0
VPS45,0.959562620579422,0.00914421957305052,0,1.18128884734096,4.33914670053368,0,7.58806447339565,0.00953728807233453,3.39927565357555,0.0675230368298714,0,0,0.00310470170233981,0,0,0,0,0.00531482830516054,2.14586570392458,0,0.028741092027851,3.8646363646773,0,0
VPS8,0,0.00148397590078761,0,0,0.0191613980226308,0,0.187101632008927,0.0185731834785661,1.84814743639952,0,0.00144430619021742,0.623156165068458,0,0,0,0.319377893573452,0,0.000862520530994964,1.50465914841802,0.000453442928521831,0.00155475589764377,0.00151308840609724,0.00258875950087949,0
