,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
DAD1,0.0781969810537197,4.26192929779307e-09,308.387722960682,18654.2294929953,0.704041469540217,0.0797190076879609,0.00227777492175517,4.27349020443309e-06,697.636363636364,3993.53846153846,0.17469128452255,284.272727272727,18654.2307692308,0.0152390484919711,19.7348559264149,6.69412070219977e-09,9.91985715792509e-10,3.64817996746181e-08,1.76539830776633e-08,0.00019262953846888,0.0335023363811973,NA,DEg,down
MAPRE1,2.4370709320625e-09,0.382265706983271,5769.54546764603,87.4162298707429,0.201510191920915,1.32533527989439,3.49253082838695e-05,0.0149347746757075,1213.45454545455,143.076923076923,8.4811339198436,5769.54545454545,54,106.843434343434,19.7292620654534,1.96825111764554e-09,1.83826048827385e-08,1.14814648529323e-08,2.19337899169038e-07,0.000193144110164134,0.0335023363811973,NA,DEg,up
CD302,0.636318705395109,8.82288690400944e-09,8.99888849547706,3921.53370011748,12324.5011781554,0.0498627851610089,0.999270370256063,1.27149617906145e-05,8,612.153846153846,0.0130686102035687,3.27272727272727,3921.53846153846,0.000834551874175256,19.6189394751551,2.88657986402541e-15,6.34491885442845e-06,3.83659349016035e-14,3.31450984932829e-05,0.000203576758810886,0.0335023363811973,NA,DEg,down
ABI2,0.333529014771975,4.09281271368433e-09,14.185985684289,16896.5383382751,1.22212000761827,0.0544097956300898,0.079316694216354,3.22016375972028e-06,15.5454545454545,2918.46153846154,0.00532659222696123,9.45454545454546,16896.5384615385,0.000559555170194582,19.5878313545918,8.10462807976364e-15,1.65391524031833e-07,9.97249158252167e-14,1.36383063010543e-06,0.000206618569923545,0.0335023363811973,NA,DEg,down
CMPK1,6.6582964023394e-09,0,8365.36368785936,103.230769230769,0.141828269122695,0.416511647057843,1.69539388682793e-05,0.00401854871184514,1343.18181818182,126.692307692308,10.6019208478225,8365.36363636364,103.230769230769,81.035564286682,19.5359861393912,7.10320691155175e-12,0,5.56594571427563e-11,0,0.000211788929343815,0.0335023363811973,NA,DEg,up
HBG2,9.77581031269008e-10,0,45.7272727663828,30775.7692307693,0.314955263428796,0.141269919143749,0.00684057390152508,4.5902758633441e-06,24,5272.92307692308,0.00455155511466418,45.7272727272727,30775.7692307692,0.00148582062675318,19.4309205545598,0,0,0,0,0.000222664950837004,0.0335023363811973,NA,DEg,down
DCAF11,0.254418442593902,2.568338745484e-09,69.5003438500333,45821.5390375803,0.836371764419079,0.0648498685218976,0.0118909698457291,1.41526841097024e-06,117.909090909091,4062,0.0290273488205541,51.8181818181818,45821.5384615385,0.00113086953336752,19.4285240276288,4.31684687995926e-11,5.26968391145743e-09,3.00842205129904e-10,7.57968233839768e-08,0.000222919408252364,0.0335023363811973,NA,DEg,down
SENP5,2.62630628675804e-09,0.284462641430547,8028.72813130118,40.4214748165534,0.0698201464389836,0.894222620554912,8.69621416072561e-06,0.0216436530429171,1044.54545454545,43.1538461538462,24.2051531356344,8028.72727272727,28.9230769230769,277.588974854932,19.3939196482733,2.79690469184857e-06,2.83320090721517e-08,1.13680642313845e-05,3.11619914019298e-07,0.000226626037478028,0.0335023363811973,NA,DEg,up
FAR1,0.03629763527893,2.62824579881466e-09,42.4499192205952,23949.2308941104,0.40567598621981,0.0745524702359301,0.00946611485062978,3.11292828104016e-06,64.7272727272727,2442.92307692308,0.0264958292541894,40.9090909090909,23949.2307692308,0.00170815886753447,19.3922703991628,0,1.91007143435229e-09,0,3.05417513614706e-08,0.000226804219063959,0.0335023363811973,NA,DEg,down
CELF2,4.42273260418117e-09,2.23197418110089e-09,5.63636340346723,16080.4616111984,0.336998664126696,0.11431274951888,0.0564169156855479,7.10874722768108e-06,7.45454545454545,3628.84615384615,0.00205424676012911,5.63636363636364,16080.4615384615,0.000350510066075061,19.3816879366655,0,2.82117973426921e-09,0,4.29309959562706e-08,0.000227950849042147,0.0335023363811973,NA,DEg,down
