,mean,total,tech,bio,p.value,FDR
PHF2,2.98444178770626,4.21997211497115,6.48038406842651,-2.26041195345536,0.929280794118091,0.999903837598123
IDI2-AS1,4.09687648854224,4.2021562736918,6.46258504977565,-2.26042877608385,0.929828699279773,0.999903837598123
MATR3,7.02990734208665,2.21177823037791,4.4738660315708,-2.26208780119288,0.983477266124423,0.999903837598123
LOC101927681,1.36520202854737,1.979533686084,4.24232348964646,-2.26278980356246,0.987729914080941,0.999903837598123
DDT,4.95720206963771,3.68952650003214,5.95231982891057,-2.26279332887843,0.945487911460134,0.999903837598123
LOC401010,1.09301821574209,1.26121946073636,3.52521134708633,-2.26399188634997,0.996609524019558,0.999903837598123
RAB5B,5.07614219378823,3.60074981610839,5.86544120231631,-2.26469138620792,0.948205359790992,0.999903837598123
RPL14,6.11394744843703,2.79319498884432,5.0580429896623,-2.26484800081798,0.970463560908409,0.999903837598123
IQCH-AS1,3.70435932552738,4.31097918609491,6.57699775016779,-2.26601856407288,0.926811569290821,0.999903837598123
AC104655.2,1.97486035482418,3.19705940576289,5.47143145090822,-2.27437204514533,0.960144824762243,0.999903837598123
NBPF8,1.35022243328003,1.9300833383273,4.20539559329333,-2.27531225496603,0.988721723481891,0.999903837598123
LOC646976,2.08578812307704,3.36270026486742,5.6381724423535,-2.27547217748608,0.955563036105597,0.999903837598123
MIR6798,1.00808438640559,1.00514400003521,3.2826864223279,-2.27754242229269,0.99827683384331,0.999903837598123
RABL2B,2.19125780693265,3.50876692228015,5.78631824422515,-2.27755132194499,0.951474630376998,0.999903837598123
IRAK1BP1,1.59149190568797,2.48357521333908,4.76184127174461,-2.27826605840553,0.978149500706759,0.999903837598123
SUCLG2,4.3329460687195,4.07233879548641,6.35119176306984,-2.27885296758343,0.934810255514416,0.999903837598123
RBM5-AS1,1.63705008311561,2.57853089094434,4.85752898753657,-2.27899809659222,0.976027252781243,0.999903837598123
DDTL,4.98864415327255,3.64910566552043,5.92965620433375,-2.28055053881331,0.947528087806838,0.999903837598123
RWDD1,4.77999414275288,3.79535928685708,6.07660973458545,-2.28125044772837,0.943245960572217,0.999903837598123
STK19,3.71116860767828,4.29293116114236,6.57584195059762,-2.28291078945526,0.928339255618161,0.999903837598123
LOC102724770,1.47242962102551,2.21461093470486,4.49756487896454,-2.28295394425968,0.983816840915514,0.999903837598123
LOC341056,1.08927915580699,1.22933269142457,3.51471055569987,-2.28537786427531,0.996938813967081,0.999903837598123
CEBPZ-AS1,4.55177589196549,3.93859545586378,6.22545856272794,-2.28686310686416,0.939258740762865,0.999903837598123
KLF16,1.80862085531497,2.89825524299727,5.19040379928416,-2.29214855628689,0.968676390424583,0.999903837598123
RP11-426A6.5,3.69881734601899,4.28568618114598,6.57787022784794,-2.29218404670196,0.929087020265347,0.999903837598123
CARHSP1,5.32128079589137,3.38394093104488,5.67779869329639,-2.29385776225151,0.955729504653803,0.999903837598123
C6orf136,3.54568577087842,4.29888709947652,6.5931144712289,-2.29422737175238,0.9288031427672,0.999903837598123
CTBP1-AS,2.57733138815546,3.91271234405795,6.21172956863183,-2.29901722457388,0.940649826099987,0.999903837598123
HNRNPA3,5.40798109260922,3.31075174845821,5.60981560392516,-2.29906385546696,0.957978692143009,0.999903837598123
TPT1-AS1,1.49313734805806,2.24563734206398,4.54499085626966,-2.29935351420568,0.983526944416253,0.999903837598123
LINC00493,5.62512011958129,3.13764235929094,5.4377880714024,-2.30014571211145,0.962722479552541,0.999903837598123
NPIPA1,1.34348683943517,1.88625151922404,4.18869159447288,-2.30244007524884,0.989755248624719,0.999903837598123
TSR3,4.06894512567571,4.17091362033136,6.47360453879366,-2.3026909184623,0.933131626348355,0.999903837598123
PRG4,1.70746962524072,2.69468576710515,4.99942910540392,-2.30474333829877,0.974017430076659,0.999903837598123
DHFR,2.15460107469133,3.43125632932592,5.73609894330291,-2.30484261397699,0.954858571390545,0.999903837598123
POLR2J,4.92013479597116,3.67373521711014,5.97861857938844,-2.3048833622783,0.947942554639916,0.999903837598123
ASH1L-AS1,2.00676426374459,3.21550641914655,5.5208461446282,-2.30533972548164,0.960824152399287,0.999903837598123
BRE-AS1,1.35057067708003,1.90079708950057,4.20625753518802,-2.30546044568745,0.989572829620268,0.999903837598123
SYCP3,2.16257886944908,3.43674420942881,5.74718591520794,-2.31044170577913,0.954938269114908,0.999903837598123
PPP3R1,4.08031117183161,4.1562591341539,6.46919462869012,-2.31293549453622,0.934123623083312,0.999903837598123
C15orf60,2.91407186258902,4.13226967446276,6.44587908300276,-2.31360940854,0.934875220259644,0.999903837598123
RP11-75N4.2,1.43865080660169,2.10379057358598,4.41889712554538,-2.3151065519594,0.986399661723029,0.999903837598123
SH2B1,2.78673008040733,4.05369829218205,6.37120525797816,-2.3175069657961,0.937415268952362,0.999903837598123
SNORA70,2.63389473542909,3.93879216597173,6.2593903932107,-2.32059822723897,0.940962695360801,0.999903837598123
IFT74,2.84260853664444,4.08295258709183,6.40602235081265,-2.32306976372082,0.936837826548566,0.999903837598123
LOC388499,1.25132164482292,1.62997246960079,3.95397851650624,-2.32400604690545,0.993390424384378,0.999903837598123
DGKZ,3.34789662752499,4.26092738512169,6.58502464565851,-2.32409726053683,0.93160603728223,0.999903837598123
KIF9,2.91676860088198,4.12261186092546,6.44728165973845,-2.32466979881299,0.93574719409112,0.999903837598123
SNORD80,2.01393141386226,3.20690232280898,5.53177625442855,-2.32487393161957,0.961781091937993,0.999903837598123
GABPB1-AS1,3.61300464985508,4.26348227860341,6.58853219138463,-2.32504991278122,0.93158195892788,0.999903837598123
SDHAP3,1.96262501171792,3.1267326292993,5.45209979791597,-2.32536716861667,0.963912515663452,0.999903837598123
MYL5,5.38267282805113,3.30077515458279,5.62969888548489,-2.3289237309021,0.959416489900159,0.999903837598123
MIR6733,1.04827276602758,1.06896371438643,3.39847744153115,-2.32951372714472,0.99807167355986,0.999903837598123
RABL6,4.64161195524065,3.83954915775944,6.16926952540021,-2.32972036764077,0.944304371425608,0.999903837598123
MEF2BNB-MEF2B,2.35351519643172,3.65395815423961,5.9874302738601,-2.33347211962049,0.949804478608391,0.999903837598123
FBRSL1,2.18945004748541,3.44862983899011,5.78388455347213,-2.33525471448202,0.955629714127184,0.999903837598123
SNAPC5,3.78836880984352,4.22329133765616,6.56051498206492,-2.33722364440876,0.933432447603493,0.999903837598123
FAM211A,1.80015276343963,2.83365915276193,5.17500398524467,-2.34134483248274,0.971759335074541,0.999903837598123
BLOC1S1-RDH5,4.89145716023872,3.65582242779558,5.99899235960988,-2.3431699318143,0.950180798977789,0.999903837598123
C7orf55-LUC7L2,5.90093083488571,2.87070693657838,5.22056563682688,-2.3498587002485,0.971121159189485,0.999903837598123
SSBP3,2.34186299886392,3.62375624525526,5.97411780270287,-2.35036155744761,0.951395739083498,0.999903837598123
HIF1A-AS2,3.46880162568729,4.23977754336995,6.59378949280214,-2.35401194943218,0.933838915283887,0.999903837598123
RPL17,6.06715573182927,2.73820481953001,5.09300925074053,-2.35480443121052,0.97436128930647,0.999903837598123
NBPF11,1.85375032472483,2.9153216113399,5.270706327805,-2.3553847164651,0.970210819800274,0.999903837598123
RPF1,5.12191255645485,3.47606787638885,5.83148940631548,-2.35542152992663,0.955693785385348,0.999903837598123
UBQLN4,3.07804213841389,4.16218710256661,6.51866822473784,-2.35648112217123,0.936239146954885,0.999903837598123
SERBP1,6.21887661209299,2.62417039112531,4.98121086798399,-2.35704047685868,0.976967102507661,0.999903837598123
