,mean,total,tech,bio,p.value,FDR
SLC44A1,3.08832671944462,10.6051027797686,13.2202430928961,-2.61514031312747,0.789318999573489,0.999932012950346
CREG1,3.01798569424258,10.4061048976142,13.0212499045614,-2.61514500694717,0.792849958858196,0.999932012950346
CHD6,3.66024668809603,12.0160580953363,14.6331453621949,-2.61708726685856,0.766376414950459,0.999932012950346
TRA2A,1.70910731465919,5.70138141505139,8.31955726205976,-2.61817584700837,0.89958323495876,0.999932012950346
RPS14,8.58581669819594,11.1777348317549,13.8005664698047,-2.6228316380498,0.780095153713129,0.999932012950346
ZNF720,1.77962316860215,5.98767958074994,8.6186342405873,-2.63095465983735,0.892663522789373,0.999932012950346
PRPF38B,4.81363039724303,13.7040936564377,16.335243045983,-2.63114938954538,0.743674765471906,0.999932012950346
C19orf6,2.44369043386035,8.55305965075519,11.1853699105104,-2.6323102597552,0.830609596758249,0.999932012950346
VKORC1,4.41388467340953,13.2686156201564,15.9024504483511,-2.63383482819467,0.74959666624323,0.999932012950346
CORO1B,2.49074741579575,8.71231184693283,11.3496419106276,-2.63733006369482,0.82755043559068,0.999932012950346
TRAF5,4.74082116830731,13.6282312539574,16.2679570874675,-2.63972583351002,0.745234176022766,0.999932012950346
MANBAL,3.26290379040164,11.0516349342787,13.6922546084306,-2.64061967415184,0.78345242135359,0.999932012950346
MFSD6,2.63587484409311,9.19683464406963,11.8405075896426,-2.64367294557296,0.817942017220942,0.999932012950346
ISYNA1,3.60830150208534,11.8767424064121,14.5205677388331,-2.64382533242098,0.770376186031296,0.999932012950346
CTDSP2,6.84115083637261,13.3897812234316,16.034492758625,-2.64471153519343,0.748709543784974,0.999932012950346
COBRA1,2.20326708431415,7.66694542738886,10.3160709759806,-2.64912554859172,0.851713332318081,0.999932012950346
LRRC47,3.16517768224184,10.781873943883,13.4320513174521,-2.6501773735691,0.788718947100311,0.999932012950346
ZNF655,3.0434439357415,10.4434808121093,13.0939310312909,-2.65045021918152,0.794682949232285,0.999932012950346
KIAA1109,2.47949061732066,8.65956574175056,11.3104848386133,-2.65091909686277,0.82962466854412,0.999932012950346
SRSF8,4.40052457094281,13.229768747438,15.8852658079038,-2.65549706046574,0.75158700983128,0.999932012950346
GLTP,1.89249091970209,6.43228003476017,9.0892196838417,-2.65693964908153,0.88262201293488,0.999932012950346
DLG1,1.53111817817816,4.8910530601505,7.5484187556445,-2.657365695494,0.923779656431953,0.999932012950346
INO80E,1.68500141377465,5.55829475061389,8.21644197217493,-2.65814722156104,0.905746417910287,0.999932012950346
PLEKHA1,1.38800744166972,4.25318824141446,6.91215465534802,-2.65896641393356,0.941047171969624,0.999932012950346
